"Indicator","Region","Breakdown","Economic activity type","Frequency","Unit of measure","Scaling","Decimals displayed","Confidentiality","Timeseries notes","Observation notes","2016","2017","2018","2019","2020"
"Electricity release","Mykolaivska","Total","Total","Annual","Kilowatt-hour","Millions","Two","","","","16976.46","17455.12","18014.48","17633.0","19794.0"
"Electricity release","Kirovohradska","Total","Total","Annual","Kilowatt-hour","Millions","Two","","","","1136.18","1268.97","1489.26","929.0","997.0"
"Electricity release","Kharkivska","Total","Total","Annual","Kilowatt-hour","Millions","Two","","","","3709.32","2521.61","3415.38","4455.0","5752.0"
"Electricity release","Ivano-Frankivska","Total","Total","Annual","Kilowatt-hour","Millions","Two","","","","7966.95","8353.74","9252.01","8408.0","6324.0"
"Electricity release","Lvivska","Total","Total","Annual","Kilowatt-hour","Millions","Two","","","","2772.92","3143.34","2812.46","2345.0","2308.0"
"Electricity release","Vinnytska","Total","Total","Annual","Kilowatt-hour","Millions","Two","","","","3896.32","5006.17","3900.46","3765.0","3129.0"
"Electricity release","Zakarpatska","Total","Total","Annual","Kilowatt-hour","Millions","Two","","","","34.21","234.09","169.53","242.0","460.0"
"Electricity release","Dnipropetrovska","Total","Total","Annual","Kilowatt-hour","Millions","Two","","","","8125.17","4922.4","5322.58","4058.0","5457.0"
"Electricity release","Kyiv","Total","Total","Annual","Kilowatt-hour","Millions","Two","","","","3386.17","4119.16","3519.36","3961.0","5534.0"
"Electricity release","Kyivska","Total","Total","Annual","Kilowatt-hour","Millions","Two","","","","3923.93","2232.78","3554.64","4015.0","3830.0"
"Electricity release","Ternopilska","Total","Total","Annual","Kilowatt-hour","Millions","Two","","","","42.46","67.86","66.56","72.0","112.0"
"Electricity release","Luhanska","Total","Total","Annual","Kilowatt-hour","Millions","Two","Confidential statistical information","1. Дані наведені без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях./Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions.","","3314.82","2465.22","2169.81","1797.0",""
"Electricity release","Rivnenska","Total","Total","Annual","Kilowatt-hour","Millions","Two","","","","16163.6","18364.77","16294.73","17878.0","15910.0"
"Electricity release","Odeska","Total","Total","Annual","Kilowatt-hour","Millions","Two","","","","326.47","360.15","387.1","401.0","628.0"
"Electricity release","Khersonska","Total","Total","Annual","Kilowatt-hour","Millions","Two","","","","1233.84","1354.49","1911.24","1729.0","2318.0"
"Electricity release","Chernihivska","Total","Total","Annual","Kilowatt-hour","Millions","Two","","","","840.25","818.53","871.08","806.0","812.0"
"Electricity release","Sumska","Total","Total","Annual","Kilowatt-hour","Millions","Two","","","","301.18","221.77","228.84","163.0","160.0"
"Electricity release","Poltavska","Total","Total","Annual","Kilowatt-hour","Millions","Two","","","","718.24","695.04","736.37","709.0","719.0"
"Electricity release","Chernivetska","Total","Total","Annual","Kilowatt-hour","Millions","Two","","","","1752.72","1951.12","2044.06","1827.0","2008.0"
"Electricity release","Sevastopol","Total","Total","Annual","Kilowatt-hour","Millions","Two","","","1. Відомості відсутні./Not available.","","","","",""
"Electricity release","Zhytomyrska","Total","Total","Annual","Kilowatt-hour","Millions","Two","","","","20.68","21.91","24.5","19.0","96.0"
"Electricity release","Volynska","Total","Total","Annual","Kilowatt-hour","Millions","Two","Confidential statistical information","","","62.19","91.4","71.36","68.0",""
"Electricity release","Cherkaska","Total","Total","Annual","Kilowatt-hour","Millions","Two","","","","1460.65","1594.89","1687.57","1327.0","1354.0"
"Electricity release","Khmelnytska","Total","Total","Annual","Kilowatt-hour","Millions","Two","","","","14357.93","12833.31","12154.83","7367.0","10899.0"
"Electricity release","Zaporizka","Total","Total","Annual","Kilowatt-hour","Millions","Two","","","","37354.61","42047.15","44180.73","44474.0","35576.0"
"Electricity release","Avtonomna Respublika Krym","Total","Total","Annual","Kilowatt-hour","Millions","Two","","","1. Відомості відсутні./Not available.","","","","",""
"Electricity release","Donetska","Total","Total","Annual","Kilowatt-hour","Millions","Two","","1. Дані наведені без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях./Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions.","","17899.49","12738.12","14044.83","12764.0","11434.0"
